ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
-2.756966135374159776e+01,2.176524922014662966e+00,-1.639754752350129152e+01
